Id,ParentId,Body
"53000119","53000086","<p>You don't need the function <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter"" rel=""nofollow noreferrer""><code>array.prototype.filter</code></a>, use the function <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/find"" rel=""nofollow noreferrer""><code>Array.prototype.find</code></a> instead to find an object according to a testing function which executes a condition.</p>

<blockquote>
  <p><em>The function <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/find"" rel=""nofollow noreferrer""><code>Array.prototype.find</code></a> returns</em></p>
  
  <p>The <strong>value</strong> of the <strong>first element</strong> in the array that satisfies the provided testing function; otherwise, <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/undefined"" rel=""nofollow noreferrer"">undefined</a> is returned.</p>
</blockquote>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>let state = {  todos: [{    id: 0,    text: ""text"",    isEdit: true,    priority: 3  }, {    id: 1,    text: ""text1"",    isEdit: false,    priority: 3  }, {    id: 2,    text: ""text2"",    isEdit: true,    priority: 2  }]},
    id = 2,
    found = state.todos.find(o =&gt; o.id === id);

if (found) found.text = ""NewText2"";

console.log(state);</code></pre>
<pre class=""snippet-code-css lang-css prettyprint-override""><code>.as-console-wrapper { max-height: 100% !important; top: 0; }</code></pre>
</div>
</div>
</p>
"
"53000120","53000030","<p>Well, first of all, your file is not JSON. If you want to keep it that way and still be capable of parsing the file, I suggest you read each line and add it to an array as a hash, like this:</p>

<pre><code>File.foreach(""answers.json"").map { |x| JSON.parse(x) }
 =&gt; [
     {""visit_count""=&gt;280, ""employability""=&gt;""employed"", ""nationality""=&gt;""Canadian"", ""income""=&gt;""5555"", ""email""=&gt;""dsfs@fsfs""},
     {""visit_count""=&gt;280, ""employability""=&gt;""employed"", ""nationality""=&gt;""Canadian"", ""income""=&gt;""5555"", ""email""=&gt;""dsfs@fsfs""}
    ] 
</code></pre>

<p>If you want to save proper JSON, you'll need to save an array of objects. The simplest way is to <code>JSON.parse</code> contents of the file, add a new object to the array, dump it to JSON and save it to the file again, like this:</p>

<pre><code>File.open(""answers.json"", ""r+"") do |f|
  contents = File.read(""answers.json"")
  prev = contents.empty? ? [] : JSON.parse(contents)
  f.write(prev.push(template_data).to_json)
end
</code></pre>
"
"53000127","53000056","<p>Read the file and get the items as list from it:</p>

<pre><code>import csv

results = []

with open('some_array.csv','r') as f:
    lines = csv.reader(f)
    for line in lines:
        results.append([[int(i)] for i in line])

&gt;&gt;results
[[['11'], ['10'], ['8'], ['12'], ['13'], ['11']],
 [['0'], ['1'], ['0'], ['2'], ['3'], ['0']],
 [['5'], ['15'], ['13'], ['11'], ['18'], ['18']]]
</code></pre>
"
"53000134","53000070","<p>Just use a <code>WHERE</code> clause:</p>

<pre><code>Image::where('id', '!=', $id)-&gt;/* ... */-&gt;get()
</code></pre>
"
"53000136","53000018","<p>You need to add weight for it. First find out ratio what u want to display text and button. Eg: u can think u can divide screen 6 equal parts then 5parts got text and lower 1part show button. U need to add flex:5 attribute to text style and flex:1 attribute to button style for it.</p>

<p>You can find more details about flex and other best practices by navigating these links
<a href=""https://medium.com/@drorbiran/the-full-react-native-layout-cheat-sheet-a4147802405c"" rel=""nofollow noreferrer"">https://medium.com/@drorbiran/the-full-react-native-layout-cheat-sheet-a4147802405c</a></p>

<p><a href=""https://www.tutorialspoint.com/react_native/react_native_flexbox.htm"" rel=""nofollow noreferrer"">https://www.tutorialspoint.com/react_native/react_native_flexbox.htm</a></p>
"
"53000151","53000091","<p>I would <em>prefer</em> a <code>StringBuilder</code>, further I would <em>prefer</em> <code>String.toUpperCase()</code> and <code>String.toCharArray()</code> with a <code>for-each</code> loop. For example,</p>

<pre><code>String str = ""hello"";
StringBuilder sb = new StringBuilder();
for (char ch : str.toUpperCase().toCharArray()) {
    if (ch == 'A' || ch == 'E' || ch == 'I' || ch == 'O' || ch == 'U') {
        sb.append(""AHHH"");
    }
    sb.append(ch);
}
System.out.println(sb);
</code></pre>

<p>Outputs (as requested)</p>

<pre><code>HAHHHELLAHHHO
</code></pre>

<p>Another option, use a <em>regular expression</em> to group vowels and replace them with ""AHHH"" and the group. Like,</p>

<pre><code>System.out.println(str.toUpperCase().replaceAll(""([AEIOU])"", ""AHHH$1""));
</code></pre>
"
"53000164","53000091","<p>Change your for-loop to this:-</p>

<pre><code>for (int i = 0; i &lt; str.length(); i++) {
    if (str.charAt(i) == 'A' || str.charAt(i) == 'E'
            || str.charAt(i) == 'I' || str.charAt(i) == 'O'
            || str.charAt(i) == 'U') {
        str1 += ""AHHH"";
    }
    str1 += str.charAt(i);
}
</code></pre>

<p>Here is the full working example:-</p>

<pre><code>public static void main(String[] args) {
    String str = ""hello"".toUpperCase();
    String str1 = """";

    for (int i = 0; i &lt; str.length(); i++) {
        if (str.charAt(i) == 'A' || str.charAt(i) == 'E'
                || str.charAt(i) == 'I' || str.charAt(i) == 'O'
                || str.charAt(i) == 'U') {
            str1 += ""AHHH"";
        }
        str1 += str.charAt(i);
    }
    System.out.print(str1);
}
</code></pre>

<p>Better to use <code>StringBuilder</code> in loops though.</p>
"
"53000166","53000008","<p>You don't want <code>nth-of-type</code> for your requirement.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var d3Items  = $('.d3');
var i = 0;


d3Items.each(function(){
 var aCount = $(this).find('a').length;
   console.log(i + ' = ' + aCount);
 i++;
})</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js""&gt;&lt;/script&gt;
&lt;div class='row d' style='grid-template-columns:repeat(1, auto);'&gt;
    &lt;div class='row d d3' id='c0' style='grid-template-columns:repeat(2, auto);'&gt;
        &lt;a href=""#"" onclick=""getBase(7)""&gt;&lt;div class=""content f"" id=""d30""&gt;Leila Rose&lt;br&gt;&lt;b&gt;JONES&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2009 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
        &lt;a href=""#"" onclick=""getBase(8)""&gt;&lt;div class=""content m"" id=""d31""&gt;Oscar&lt;br&gt;&lt;b&gt;JONES&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2012 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
    &lt;/div&gt;
&lt;/div&gt;
&lt;div class='row d' style='grid-template-columns:repeat(1, auto);'&gt;
    &lt;div class='row d d3' style='grid-template-columns:repeat(1, auto);'&gt;
        &lt;div&gt;&lt;/div&gt;
    &lt;/div&gt;
    &lt;div class='row d d3' id='c2' style='grid-template-columns:repeat(2, auto);'&gt;
        &lt;a href=""#"" onclick=""getBase(26)""&gt;&lt;div class=""content f"" id=""d32""&gt;Natasha&lt;br&gt;&lt;b&gt;SMITH&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2007 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
        &lt;a href=""#"" onclick=""getBase(27)""&gt;&lt;div class=""content m"" id=""d33""&gt;Gabriel&lt;br&gt;&lt;b&gt;SMITH&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;1997 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
    &lt;/div&gt;
&lt;/div&gt;
&lt;div class='row d' style='grid-template-columns:repeat(3, auto);'&gt;
    &lt;div class='row d d3' id='c3' style='grid-template-columns:repeat(1, auto);'&gt;
        &lt;a href=""#"" onclick=""getBase(25)""&gt;&lt;div class=""content f"" id=""d34""&gt;Karen&lt;br&gt;&lt;b&gt;WILLIAMS&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2010 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
    &lt;/div&gt;
    &lt;div class='row d d3' style='grid-template-columns:repeat(1, auto);'&gt;
        &lt;div&gt;&lt;/div&gt;
    &lt;/div&gt;
     &lt;div class='row d d3' style='grid-template-columns:repeat(1, auto);'&gt;
        &lt;div&gt;&lt;/div&gt;
    &lt;/div&gt;
&lt;/div&gt;
&lt;div class='row d' style='grid-template-columns:repeat(2, auto);'&gt;
    &lt;div class='row d d3' id='c6' style='grid-template-columns:repeat(2, auto);'&gt;
        &lt;a href=""#"" onclick=""getBase(33)""&gt;&lt;div class=""content f"" id=""d35""&gt;Child1&lt;br&gt;&lt;b&gt;WILSON&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2001 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
        &lt;a href=""#"" onclick=""getBase(34)""&gt;&lt;div class=""content m"" id=""d36""&gt;Child2&lt;br&gt;&lt;b&gt;WILSON&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2003 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
    &lt;/div&gt;
    &lt;div class='row d d3' id='c7' style='grid-template-columns:repeat(2, auto);'&gt;
        &lt;a href=""#"" onclick=""getBase(31)""&gt;&lt;div class=""content f"" id=""d37""&gt;Penelopy ""Penny""&lt;br&gt;&lt;b&gt;TAYLOR&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2007 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
        &lt;a href=""#"" onclick=""getBase(32)""&gt;&lt;div class=""content f"" id=""d38""&gt;Claire&lt;br&gt;&lt;b&gt;TAYLOR&lt;/b&gt;&lt;br&gt;&lt;span class=""nee""&gt;&lt;br&gt;2012 - &lt;/span&gt;&lt;/div&gt;&lt;/a&gt;
    &lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
"
"53000176","53000091","<p>Everytime your loop finds a vowel, it concatenates HELLO again. So when it hits E str1 looks like ""HAHHHELLO"", but once it hits the O, it's adding HELLO again, because you're using the substrings of the original string.</p>
"
"53000177","53000008","<p>I think this is what you want:</p>

<pre><code>$('.d3').each(function(i) {
  console.log(i + ' = ', $(this).find('a').length);
});
</code></pre>

<p><a href=""https://codepen.io/rockysims/pen/oaJrGQ"" rel=""nofollow noreferrer"">https://codepen.io/rockysims/pen/oaJrGQ</a></p>

<p>The issue is that <code>nth-of-type(n)</code> is selecting the <code>n</code>th child div matching '.d3' in each parent div (the 'row' divs). So <code>nth-of-type(1)</code> is selecting #c0, (a div without an id), #c3, and #c6 then getting all the <code>a</code> tags in those divs (2 from #c0, 0 from div without id, 1 from #c3, and 2 from #c6 for a total of 5). That's why the first number you're seeing is 5.</p>
"
"53000178","53000091","<p>Your problem is here:</p>

<pre><code>str1 = str.substring(0 , i) + ""AHHH"" + str.substring(i);
//                   ^
</code></pre>

<p>Every time you find a vowel, you append a substring beginning at the start of the original string again.</p>

<p>Secondly, concatenating strings in a loop is inefficient, and it's better to use a <a href=""https://docs.oracle.com/javase/8/docs/api/java/lang/StringBuilder.html"" rel=""nofollow noreferrer""><code>StringBuilder</code></a>.</p>

<hr>

<p>Putting everything together:</p>

<pre><code>import java.util.*;

public class Test {
  public static void main(String[] args) {
    String str = ""hello"";
    StringBuilder sb = new StringBuilder();

    for (char c : str.toUpperCase().toCharArray()) {
      if (c == 'A' || c == 'E' || c == 'I' || c == 'O' || c == 'U') {
        sb.append(""AHHH"");
      }

      sb.append(c);
    }   

    System.out.print(sb.toString());
  }
}
</code></pre>

<hr>

<p>Alternatively, you could just use <a href=""https://docs.oracle.com/javase/8/docs/api/java/lang/String.html#replaceAll-java.lang.String-java.lang.String-"" rel=""nofollow noreferrer""><code>replaceAll()</code></a> with a regular expression:</p>

<pre><code>public class Test {
  public static void main(String[] args) {
    String str = ""hello"";
    String result = str.toUpperCase().replaceAll(""([AEIOU])"", ""AHHH$1"");

    System.out.println(result);
  }
}
</code></pre>
"
"53000181","53000142","<p>As <code>cnt</code> is a member variable (non-global), it's value is un-initialized, which means it could be whatever was in that memory location before.  It's not an error to use it but the value it will read is effectively garbage.</p>

<p>As a side note, global and static variables are initialized to <code>0</code>.</p>
"
"53000196","53000158","<p>you did not instantiate your button before executing the Button.setOnClickListener so you can solve this way,</p>

<pre><code>Button your_button = (Button) findViewById(R.id. your_button);
</code></pre>

<p>then add your click listener like below,</p>

<pre><code>your_button.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View view) {
//do your stuff
});
</code></pre>
"
"53000203","53000056","<ol>
<li>First you can read the file into an array.</li>
<li>After you can use a map function to convert every string list to an integer list</li>
</ol>

<p>Solution:</p>

<pre><code>import csv
with open('input.csv', 'rb') as f:
    reader = csv.reader(f)
    lines = [row for row in reader]

array = [map(int,l) for l in lines]

array
[[11, 10, 8, 12, 13, 11], [0, 1, 0, 2, 3, 0], [5, 15, 13, 11, 18, 18]]
</code></pre>
"
"53000208","53000051","<p>So as a test I might suggest changing the ""on-connection"" part to this:</p>

<pre><code>connection.connect((err) =&gt; {
if (err) throw err;
console.log(""Connected!"");
});
</code></pre>

<p>This is just a check to see if your program can connect to the DB
//
Adicionalmente, puedes quitar el ""port: 3306"" en tu declaración de connection ya que este puerto es el normal de MySQL</p>
"
"53000216","53000188","<p>You can use:</p>

<pre><code>$n += 4;
</code></pre>

<p>When you put an operator before <code>=</code>, it creates an operator that combines the original value of the target with the source using that operation, so that's equivalent to:</p>

<pre><code>$n = $n + 4;
</code></pre>

<p>Similarly, if you write:</p>

<pre><code>$n *= 10;
</code></pre>

<p>it's the same as</p>

<pre><code>$n = $n * 10;
</code></pre>
"
"53000222","53000198","<p>Does this do what you want?</p>

<pre><code>UPDATE pricelist pl
    SET pl.price = '23'
WHERE pl.material_id = 1936
ORDER BY pl.import_date DESC
LIMIT 1;
</code></pre>
"
"53000239","53000199","<p>The <a href=""http://openjdk.java.net/jeps/110"" rel=""noreferrer""><code>HttpClient</code> has been a part of an incubator module</a> with Java 9 and 10. So what one saw there was more of a prototyped work which though ideally shouldn't change much, yet doesn't guarantee the same.</p>

<p>From the incubator <a href=""http://openjdk.java.net/jeps/11"" rel=""noreferrer"">JEP#Incubator Modules</a>:</p>

<blockquote>
  <p>An incubating feature is an API of non-trivial size that is under
  development for eventual inclusion in the Java SE Platform, or the
  JDK, but is not yet sufficiently proven.</p>
</blockquote>

<hr>

<p>If you wish to use the <strong><em>standard module</em></strong> you can make use of it in Java 11, where it is named as <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.net.http/module-summary.html"" rel=""noreferrer""><code>java.net.http</code></a>. [<em>notice that its marked as since Java 11 and not 9 or 10</em>]</p>

<p><a href=""https://stackoverflow.com/questions/50122696/the-jdk-incubator-httpclient-module-not-found-in-java11"">The jdk.incubator.httpclient module not found in Java11</a> could help you migrate the usage of <code>HttpClient</code> in Java 11 if you were already using that in Java9/10.</p>

<p><strong><em>Slightly Off-topic</em></strong>: If you could compare the source code in the two JDK, you would find that there have been updates to the methods in the <code>BodyPublisher</code> as compared to its previous state, both in Java 10 as well as Java 11.</p>
"
"53000247","53000114","<p><code>tim.drawPhase1()</code> and <code>tim.drawPhase2()</code> calls the methods in the Turtle class or the intertited methods, seems like these methods are defined over the class Turtle, Modify the code to use the drawPhase1,2 methods statically and pass the Turtle instance</p>

<pre><code>FaceCaptions.drawPhase1(tim);

FaceCaptions.drawPhase2(tim);


public static void drawPhase1(Turtle tim){
    TurtleAlphabet.drawABoldSize(tim, Color.blue, true, 1);
    TurtleAlphabet.drawWBoldSize(tim, Color.white, true, 1);
    TurtleAlphabet.drawKBoldSize(tim, Color.red, true, 1);
    TurtleAlphabet.drawWBoldSize(tim, Color.blue, true, 1);
    TurtleAlphabet.drawABoldSize(tim, Color.white, true, 1);
    TurtleAlphabet.drawRBoldSize(tim, Color.red, true, 1);
    TurtleAlphabet.drawDBoldSize(tim, Color.blue, true, 1);
}

public static void drawPhase2(Turtle tim){
    TurtleAlphabet.drawABoldSize(tim, Color.yellow, true, 1);
    TurtleAlphabet.drawWBoldSize(tim, Color.orange, true, 1);
    TurtleAlphabet.drawABoldSize(tim, Color.yellow, true, 1);
    TurtleAlphabet.drawRBoldSize(tim, Color.orange, true, 1);
    TurtleAlphabet.drawDBoldSize(tim, Color.yellow, true, 1);
}
</code></pre>
"
"53000250","53000243","<p>Both sides of the expression must yield to a <code>boolean</code> result. </p>

<pre><code>if (in.charAt(i) == ' ' &amp;&amp; in.charAt(i + 1));
                           ^^This will not evaluate to either true or false
</code></pre>

<p>I think you wanted </p>

<pre><code>if (in.charAt(i) == ' ' &amp;&amp; in.charAt(i + 1) == ' ')
</code></pre>

<p>Also note that there is no semi colon after the <code>if</code>.</p>

<hr>

<p>If you are trying to count the number of words, you want to iterate over the length of the <code>String</code> and every time there is a white space, add to the counter. So something like:</p>

<pre><code>for (int i = 0; i &lt; in.length(); i++){
    if (in.charAt(i) == ' ' ) {
        counter++;
    }
}
</code></pre>

<p>However there are also a lot of easier ways to do this. Utilizing the <code>split()</code> method you can do:</p>

<pre><code>System.out.println(in.split("" "").length);
</code></pre>

<p>Which will split the inputted <code>String</code> on a whitespace, and then find the length of the resulting <code>Array</code></p>
"
"53000255","53000232","<p>This might be what you're looking for. I don't think bit-shifting is vectorized:</p>

<p><code>df['val'] = (df['x'].apply(lambda x: x &lt;&lt; 1))*math.pi</code></p>

<p>Output:</p>

<pre><code>   x  y        val
0  1  3   6.283185
1  2  4  12.566371
2  3  5  18.849556
</code></pre>
"
"53000272","53000122","<p>Yes, your analysis is correct. If you have <code>n</code> words then your initialization steps run in <code>O(n)</code>. Then your for loop does an <code>O(m log m)</code> sort for each of <code>j</code> partitions. Here's a proof:</p>

<blockquote>
  <p>Let <strong>L</strong> be a list of <strong>n</strong> elements. Partition <strong>L</strong> into <strong>j</strong> different partitions, each containing <strong>n_1, ..., n_j</strong> elements. Clearly <strong>n_1 + ... + n_j = n</strong> and <strong>1 &lt;= j &lt;= n</strong>.</p>
  
  <p>We can ignore the iterations that do not process any items since they are bounded by a constant <strong>n</strong> operations. Thus the for loop does work on <strong>j</strong> iterations, and in each one does <strong>O(n_i log n_i)</strong> work. Thus, each of those iterations is bounded by <strong>C_i n_i log n_i</strong> for suitable constants <strong>C_i</strong>. The total work is then <strong>C_1 n_1 log n_1 + ... + C_j n_j log n_j</strong>. Suppose <strong>K</strong> is the largest of the <strong>C_i</strong>. Then this is bounded above by <strong>K n_1 log n + ... + K n_j log n = K (n_1 + ... + n_j) log n = K n log n</strong>. Therefore the loop runs in <strong>O(n log n)</strong> time.</p>
</blockquote>

<p>I'll note that there is an <code>n log k</code> algorithm that involves using a min heap wherein you keep at most <code>k</code> elements...</p>
"
"53000275","53000188","<p>@Barmar 's solution and explanation is correct and solves your issue. But here is an alternative way you could write that code which you may find helpful:</p>

<pre><code>$n = 174;
foreach($items as $i =&gt; $item){
    echo $item . ' coor: ' . $n + $i*4 . '&lt;br&gt;';
}
</code></pre>

<p>Note this will only work if your array keys are numeric and incrementing. If they're not then you just need to change <code>$items</code> in the foreach to <code>array_values($items)</code>.</p>
"
"53000284","53000056","<pre><code>import csv

output = []

with open('test1.csv', 'r') as f:
    content = csv.reader(f, delimiter=',')

    for line in content:
        clean_line = filter(None, line)  # remove extra spaces
        output.append([[int(i)] for i in clean_line])

&gt;&gt;&gt; print output
[[[11], [10], [8], [12], [13], [11]], [[0], [1], [0], [2], [3], [0]], [[5], [15], [13], [11], [18], [18]]]  
</code></pre>

<p>Tested and results match desired output:</p>

<pre><code>desired = [ [[11],[10],[8],[12],[13],[11]], 
            [[0],[1],[0],[2],[3],[0]], 
            [[5],[15],[13],[11],[18],[18]] ]

# print output == desired   # True
</code></pre>
"
"53000286","53000246","<p>Why not combine this into a single query?</p>

<pre><code>SELECT @Country = (CASE WHEN @OrganizationId = 3 THEN 'MS'
                        ELSE 'SG'
                   END)
FROM [Company].[PES].[EmployeeProfile] EP JOIN
     Config.BusinessUnit cbu 
     ON EP.EntityCode = cbu.EntityCode JOIN
     [Company].[PES].[BusinessUnit] BU 
     ON cbu.EntityId = bu.EntityId
WHERE EP.Username = @Username)
</code></pre>
"
"53000290","53000142","<p>The author of this code is of the belief that using the initial call to <code>take()</code> to establish the <code>cnt</code> member value of <code>0</code> is standard-compliant; they're wrong (at least through C++14, I've not checked C++17)</p>

<p>Per the standard, </p>

<blockquote>
  <p>8.5 Initializers [dcl.init]</p>
  
  <ol start=""12"">
  <li>If no initializer is specified for an object, the object is default-initialized. When storage for an object with automatic or
  dynamic storage duration is obtained, the object has an indeterminate
  value, and if no initialization is performed for the object, that
  object retains an indeterminate value until that value is replaced
  (5.18). [Note: Objects with static or thread storage duration are
  zero-initialized, see 3.6.2. — end note ] <strong>If an indeterminate value is
  produced by an evaluation, the behavior is undefined</strong> except in the
  following cases:</li>
  </ol>
</blockquote>

<p>None of the exceptions apply to you, so I didn't bother showing them, but you can look them up for confirmation. </p>

<p>The proper way to do this is to establish a determine value for <code>cnt</code> before first use (such as a member initialization list), at which point the worthless <code>take()</code> call can then be removed. In other words,</p>

<pre><code>#include &lt;iostream&gt;
using namespace std;

class A{
public:
    int data[3];
private:
    int cnt;
public:
    A() : cnt(0) {} // HERE
    void put(int v){data[cnt++]=v;}
    int take(){int c=cnt;cnt=0;return c;}
};

int main()
{
    A a;
    a.put(a.take());
    a.put(1);
    cout&lt;&lt;a.data[0];
    return 0;
}
</code></pre>
"
